tick,population_size,avg_energy,std_energy,avg_age,std_age,births,deaths,deaths_starvation,deaths_natural,avg_S,std_S,min_S,max_S,avg_V,std_V,min_V,max_V,avg_M,std_M,min_M,max_M,avg_IQ,std_IQ,min_IQ,max_IQ,avg_W,std_W,min_W,max_W,avg_R,std_R,min_R,max_R,avg_T0,std_T0,min_T0,max_T0,genetic_diversity,genetic_quality,population_distribution,patch_usage,zone_transitions,Polar_population,Polar_energy_mean,Polar_age_mean,Polar_S_mean,Polar_V_mean,Polar_M_mean,Polar_IQ_mean,Polar_W_mean,Polar_R_mean,Polar_T0_mean,Middle_population,Middle_energy_mean,Middle_age_mean,Middle_S_mean,Middle_V_mean,Middle_M_mean,Middle_IQ_mean,Middle_W_mean,Middle_R_mean,Middle_T0_mean,Equator_population,Equator_energy_mean,Equator_age_mean,Equator_S_mean,Equator_V_mean,Equator_M_mean,Equator_IQ_mean,Equator_W_mean,Equator_R_mean,Equator_T0_mean,avg_lifespan,max_lifespan,reproduction_rate,extinction_probability,avg_death_age,migration_rate
0,500,122.538,7.076643931506893,1.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2948.8107522721766,0.0472,0,100,121.55,1.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,212,123.93867924528301,1.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,188,121.48404255319149,1.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
1,500,145.326,12.051350850976556,2.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2948.737639744167,0.0474,0,100,142.85,2.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,212,147.87735849056602,2.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,188,143.7659574468085,2.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
2,500,167.012,18.007781355106832,3.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2948.806680537739,0.0461,0,101,163.35643564356437,3.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,211,171.1611374407583,3.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,188,164.31914893617022,3.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
3,500,188.532,24.238364411266147,4.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2948.874603407883,0.0458,0,101,182.86138613861385,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,211,194.45497630331752,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,188,184.93085106382978,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
4,500,210.502,30.647533821391463,5.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2949.031727527529,0.0463,0,101,204.14851485148515,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,213,217.81690140845072,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,186,205.5752688172043,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
5,500,231.295,37.37264786355569,6.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2949.1998255364115,0.0449,0,101,222.5148514851485,6.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,213,240.4882629107981,6.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,186,225.53494623655914,6.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
6,500,251.626,44.30905615484642,7.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2949.155072824079,0.0443,0,101,242.21782178217822,7.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,213,261.76291079812205,7.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,186,245.1263440860215,7.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
7,500,272.161,51.165798267332185,8.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2949.122677230637,0.0445,0,101,261.9207920792079,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,213,284.3920187793427,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,186,263.71505376344084,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
8,500,292.036,58.06984906702158,9.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2949.0615626337813,0.0437,0,101,280.95544554455444,9.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,213,305.61032863849766,9.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,186,282.508064516129,9.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
9,500,311.078,65.30477457787192,10.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2949.141220195466,0.0428,0,101,299.990099009901,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,214,325.3200934579439,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,185,300.65675675675675,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
