tick,population_size,avg_energy,std_energy,avg_age,std_age,births,deaths,deaths_starvation,deaths_natural,avg_S,std_S,min_S,max_S,avg_V,std_V,min_V,max_V,avg_M,std_M,min_M,max_M,avg_IQ,std_IQ,min_IQ,max_IQ,avg_W,std_W,min_W,max_W,avg_R,std_R,min_R,max_R,avg_T0,std_T0,min_T0,max_T0,genetic_diversity,genetic_quality,population_distribution,patch_usage,zone_transitions,Polar_population,Polar_energy_mean,Polar_age_mean,Polar_S_mean,Polar_V_mean,Polar_M_mean,Polar_IQ_mean,Polar_W_mean,Polar_R_mean,Polar_T0_mean,Middle_population,Middle_energy_mean,Middle_age_mean,Middle_S_mean,Middle_V_mean,Middle_M_mean,Middle_IQ_mean,Middle_W_mean,Middle_R_mean,Middle_T0_mean,Equator_population,Equator_energy_mean,Equator_age_mean,Equator_S_mean,Equator_V_mean,Equator_M_mean,Equator_IQ_mean,Equator_W_mean,Equator_R_mean,Equator_T0_mean,avg_lifespan,max_lifespan,reproduction_rate,extinction_probability,avg_death_age,migration_rate
0,500,105.6544,1.3216658579232512,1.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2851.7749361658957,0.0484,0,77,106.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,105.62758620689655,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,105.54764397905758,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
1,500,111.43839999999999,2.1134912916783004,2.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2851.8194084787347,0.049,0,77,112.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,111.39482758620689,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,111.2649214659686,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
2,500,117.1792,3.020603807188228,3.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2851.864887363355,0.0488,0,77,117.85974025974026,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,117.20862068965516,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,116.86910994764398,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
3,500,122.8984,3.9622313713361104,4.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2851.9278664790945,0.0487,0,77,123.85974025974026,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,122.97586206896551,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,122.41675392670159,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
4,500,128.6284,4.870440784980355,5.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2851.977047017735,0.0487,0,77,129.85974025974028,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,128.67327586206895,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,128.07748691099474,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
5,500,134.22879999999998,5.906563345973703,6.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2852.011662149368,0.0481,0,76,135.85789473684213,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,233,134.19227467811157,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,133.62513089005233,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
6,500,139.87159999999997,6.964210898587155,7.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2852.054461787853,0.0483,0,76,141.71578947368423,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,233,139.75021459227466,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,139.28586387434555,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
7,500,145.4288,8.093116245303792,8.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2852.092987467975,0.0479,0,76,147.57368421052632,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,145.2051724137931,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,192,144.85,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
8,499,151.00160320641285,9.292736267081347,9.0,0.0,0,1,0,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2853.912040006955,0.0479,0,76,153.43157894736842,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,150.66982758620688,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,150.43769633507853,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,9,0.0,0.0,9.0,0
9,499,156.52545090180362,10.534731828408706,10.0,0.0,0,1,0,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2853.9302906805274,0.0476,0,76,159.28947368421052,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,232,156.0413793103448,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,191,156.01361256544502,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,9,0.0,0.0,9.0,0
