tick,population_size,avg_energy,std_energy,avg_age,std_age,births,deaths,deaths_starvation,deaths_natural,avg_S,std_S,min_S,max_S,avg_V,std_V,min_V,max_V,avg_M,std_M,min_M,max_M,avg_IQ,std_IQ,min_IQ,max_IQ,avg_W,std_W,min_W,max_W,avg_R,std_R,min_R,max_R,avg_T0,std_T0,min_T0,max_T0,genetic_diversity,genetic_quality,population_distribution,patch_usage,zone_transitions,Polar_population,Polar_energy_mean,Polar_age_mean,Polar_S_mean,Polar_V_mean,Polar_M_mean,Polar_IQ_mean,Polar_W_mean,Polar_R_mean,Polar_T0_mean,Middle_population,Middle_energy_mean,Middle_age_mean,Middle_S_mean,Middle_V_mean,Middle_M_mean,Middle_IQ_mean,Middle_W_mean,Middle_R_mean,Middle_T0_mean,Equator_population,Equator_energy_mean,Equator_age_mean,Equator_S_mean,Equator_V_mean,Equator_M_mean,Equator_IQ_mean,Equator_W_mean,Equator_R_mean,Equator_T0_mean,avg_lifespan,max_lifespan,reproduction_rate,extinction_probability,avg_death_age,migration_rate
0,500,122.85,6.675489994499778,1.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.7987332986877,0.0476,0,76,122.57894736842105,1.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,234,123.44444444444444,1.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,190,122.22631578947369,1.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
1,500,145.75,12.490883342128637,2.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.8974100735113,0.0477,0,76,144.6184210526316,2.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,234,147.01282051282053,2.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,190,144.64736842105262,2.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
2,500,167.288,18.894462751469455,3.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.9763284368264,0.0461,0,76,165.47368421052633,3.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,233,169.1845493562232,3.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,191,165.69633507853402,3.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
3,500,188.224,25.466320713182476,4.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2852.0236186083735,0.0454,0,76,185.73684210526315,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,233,190.46351931330472,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,191,186.48167539267016,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
4,500,209.452,32.13461315570279,5.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2852.01985172544,0.0457,0,76,206.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,232,212.125,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,192,207.58854166666666,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
5,500,230.31,38.97202287111444,6.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.891331994261,0.0453,0,76,225.67105263157896,6.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,233,233.5107296137339,6.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,191,228.25130890052355,6.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
6,500,249.999,45.80624592418229,7.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.8466643625848,0.0439,0,76,246.52631578947367,7.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,231,252.76406926406926,7.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,193,248.05699481865284,7.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
7,500,269.275,52.90959404178666,8.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.809385929572,0.0433,0,76,266.7894736842105,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,231,272.1926406926407,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,193,266.7616580310881,8.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
8,500,288.286,59.73854258907449,9.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.7038327084388,0.043,0,76,287.05263157894734,9.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,231,291.4134199134199,9.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,193,285.0284974093264,9.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
9,500,307.284,66.7647482633363,10.0,0.0,0,0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,0.0,0,0,5.0,0.0,5,5,5.0,0.0,5,5,5.0,0.0,5,5,0.0,4.285714285714286,2851.6186280076095,0.0428,0,76,306.9868421052632,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,231,311.0064935064935,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,193,302.94559585492226,10.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0
